创建为新数据集,样品 1185 用户 Administrator 日期 星期二, 七月 30 2019
cm-1,%T
10000.00,3.24
9999.00,3.18
9998.00,3.13
9997.00,3.09
9996.00,3.04
9995.00,3.01
9994.00,2.97
9993.00,2.94
9992.00,2.91
9991.00,2.88
9990.00,2.85
9989.00,2.83
9988.00,2.81
9987.00,2.80
9986.00,2.78
9985.00,2.77
9984.00,2.77
9983.00,2.76
9982.00,2.75
9981.00,2.74
9980.00,2.73
9979.00,2.72
9978.00,2.71
9977.00,2.70
9976.00,2.69
9975.00,2.68
9974.00,2.67
9973.00,2.65
9972.00,2.64
9971.00,2.63
9970.00,2.61
9969.00,2.59
9968.00,2.57
9967.00,2.54
9966.00,2.52
9965.00,2.49
9964.00,2.45
9963.00,2.42
9962.00,2.38
9961.00,2.35
9960.00,2.32
9959.00,2.29
9958.00,2.26
9957.00,2.23
9956.00,2.21
9955.00,2.19
9954.00,2.18
9953.00,2.17
9952.00,2.17
9951.00,2.17
9950.00,2.18
9949.00,2.19
9948.00,2.20
9947.00,2.22
9946.00,2.25
9945.00,2.27
9944.00,2.30
9943.00,2.33
9942.00,2.36
9941.00,2.39
9940.00,2.42
9939.00,2.46
9938.00,2.48
9937.00,2.51
9936.00,2.53
9935.00,2.55
9934.00,2.56
9933.00,2.57
9932.00,2.57
9931.00,2.57
9930.00,2.57
9929.00,2.56
9928.00,2.54
9927.00,2.53
9926.00,2.51
9925.00,2.48
9924.00,2.46
9923.00,2.43
9922.00,2.40
9921.00,2.36
9920.00,2.32
9919.00,2.28
9918.00,2.23
9917.00,2.19
9916.00,2.14
9915.00,2.09
9914.00,2.04
9913.00,2.00
9912.00,1.96
9911.00,1.92
9910.00,1.89
9909.00,1.86
9908.00,1.84
9907.00,1.83
9906.00,1.82
9905.00,1.82
9904.00,1.82
9903.00,1.82
9902.00,1.82
9901.00,1.82
9900.00,1.82
9899.00,1.83
9898.00,1.83
9897.00,1.82
9896.00,1.82
9895.00,1.82
9894.00,1.81
9893.00,1.81
9892.00,1.80
9891.00,1.80
9890.00,1.79
9889.00,1.79
9888.00,1.78
9887.00,1.77
9886.00,1.76
9885.00,1.74
9884.00,1.73
9883.00,1.71
9882.00,1.70
9881.00,1.68
9880.00,1.66
9879.00,1.64
9878.00,1.61
9877.00,1.59
9876.00,1.58
9875.00,1.56
9874.00,1.54
9873.00,1.53
9872.00,1.52
9871.00,1.52
9870.00,1.52
9869.00,1.53
9868.00,1.54
9867.00,1.55
9866.00,1.57
9865.00,1.59
9864.00,1.62
9863.00,1.64
9862.00,1.67
9861.00,1.70
9860.00,1.73
9859.00,1.76
9858.00,1.79
9857.00,1.81
9856.00,1.84
9855.00,1.86
9854.00,1.88
9853.00,1.90
9852.00,1.92
9851.00,1.93
9850.00,1.94
9849.00,1.95
9848.00,1.96
9847.00,1.96
9846.00,1.95
9845.00,1.95
9844.00,1.94
9843.00,1.92
9842.00,1.90
9841.00,1.87
9840.00,1.84
9839.00,1.81
9838.00,1.78
9837.00,1.75
9836.00,1.71
9835.00,1.68
9834.00,1.65
9833.00,1.62
9832.00,1.59
9831.00,1.57
