创建为新数据集,样品 1033 用户 Administrator 日期 星期二, 七月 30 2019
cm-1,%T
10000.00,0.57
9999.00,0.66
9998.00,0.75
9997.00,0.83
9996.00,0.92
9995.00,1.00
9994.00,1.09
9993.00,1.17
9992.00,1.25
9991.00,1.33
9990.00,1.41
9989.00,1.48
9988.00,1.55
9987.00,1.61
9986.00,1.68
9985.00,1.73
9984.00,1.79
9983.00,1.83
9982.00,1.88
9981.00,1.92
9980.00,1.95
9979.00,1.98
9978.00,2.00
9977.00,2.03
9976.00,2.05
9975.00,2.07
9974.00,2.09
9973.00,2.10
9972.00,2.11
9971.00,2.13
9970.00,2.14
9969.00,2.15
9968.00,2.16
9967.00,2.16
9966.00,2.16
9965.00,2.16
9964.00,2.16
9963.00,2.16
9962.00,2.15
9961.00,2.14
9960.00,2.13
9959.00,2.11
9958.00,2.10
9957.00,2.08
9956.00,2.06
9955.00,2.04
9954.00,2.03
9953.00,2.01
9952.00,2.00
9951.00,1.98
9950.00,1.96
9949.00,1.95
9948.00,1.93
9947.00,1.91
9946.00,1.90
9945.00,1.88
9944.00,1.86
9943.00,1.85
9942.00,1.83
9941.00,1.80
9940.00,1.78
9939.00,1.76
9938.00,1.73
9937.00,1.71
9936.00,1.69
9935.00,1.67
9934.00,1.65
9933.00,1.62
9932.00,1.60
9931.00,1.58
9930.00,1.56
9929.00,1.54
9928.00,1.52
9927.00,1.50
9926.00,1.49
9925.00,1.47
9924.00,1.45
9923.00,1.44
9922.00,1.43
9921.00,1.41
9920.00,1.40
9919.00,1.39
9918.00,1.38
9917.00,1.37
9916.00,1.37
9915.00,1.36
9914.00,1.36
9913.00,1.36
9912.00,1.36
9911.00,1.36
9910.00,1.37
9909.00,1.38
9908.00,1.38
9907.00,1.39
9906.00,1.40
9905.00,1.41
9904.00,1.42
9903.00,1.43
9902.00,1.43
9901.00,1.44
9900.00,1.44
9899.00,1.45
9898.00,1.45
9897.00,1.45
9896.00,1.46
9895.00,1.46
9894.00,1.46
9893.00,1.45
9892.00,1.45
9891.00,1.45
9890.00,1.44
9889.00,1.44
9888.00,1.43
9887.00,1.42
9886.00,1.42
9885.00,1.41
9884.00,1.40
9883.00,1.40
9882.00,1.39
9881.00,1.39
9880.00,1.39
9879.00,1.40
9878.00,1.40
9877.00,1.41
9876.00,1.43
9875.00,1.44
9874.00,1.45
9873.00,1.46
9872.00,1.47
9871.00,1.48
9870.00,1.49
9869.00,1.50
9868.00,1.51
9867.00,1.52
9866.00,1.54
9865.00,1.55
9864.00,1.57
9863.00,1.58
9862.00,1.60
9861.00,1.62
9860.00,1.64
9859.00,1.66
9858.00,1.68
9857.00,1.69
9856.00,1.70
9855.00,1.70
9854.00,1.71
9853.00,1.71
9852.00,1.70
9851.00,1.70
9850.00,1.69
9849.00,1.69
9848.00,1.68
9847.00,1.67
9846.00,1.67
9845.00,1.66
9844.00,1.66
9843.00,1.66
9842.00,1.66
9841.00,1.66
9840.00,1.65
9839.00,1.65
9838.00,1.64
9837.00,1.64
9836.00,1.63
9835.00,1.62
9834.00,1.61
9833.00,1.60
9832.00,1.59
9831.00,1.59
9830.00,1.59
9829.00,1.59
9828.00,1.59
9827.00,1.59
9826.00,1.60
9825.00,1.61
9824.00,1.62
9823.00,1.63
9822.00,1.64
9821.00,1.65
9820.00,1.66
9819.00,1.67
9818.00,1.68
9817.00,1.69
9816.00,1.70
9815.00,1.71
9814.00,1.71
9813.00,1.72
9812.00,1.72
9811.00,1.73
9810.00,1.73
9809.00,1.73
9808.00,1.73
9807.00,1.73
9806.00,1.73
9805.00,1.72
9804.00,1.71
9803.00,1.70
9802.00,1.69
9801.00,1.67
9800.00,1.66
9799.00,1.64
9798.00,1.63
9797.00,1.61
9796.00,1.59
9795.00,1.57
9794.00,1.55
9793.00,1.53
9792.00,1.51
9791.00,1.50
9790.00,1.48
9789.00,1.47
9788.00,1.46
9787.00,1.45
9786.00,1.45
9785.00,1.44
9784.00,1.44
9783.00,1.44
9782.00,1.44
9781.00,1.44
9780.00,1.45
9779.00,1.45
9778.00,1.45
9777.00,1.46
9776.00,1.47
9775.00,1.47
9774.00,1.48
9773.00,1.48
9772.00,1.49
9771.00,1.50
9770.00,1.50
9769.00,1.51
9768.00,1.52
9767.00,1.53
9766.00,1.54
9765.00,1.54
9764.00,1.55
9763.00,1.56
9762.00,1.56
9761.00,1.57
9760.00,1.57
9759.00,1.58
9758.00,1.58
9757.00,1.59
9756.00,1.60
9755.00,1.61
9754.00,1.62
9753.00,1.64
9752.00,1.65
9751.00,1.67
9750.00,1.69
9749.00,1.70
9748.00,1.72
9747.00,1.73
9746.00,1.75
9745.00,1.76
9744.00,1.77
9743.00,1.77
9742.00,1.78
9741.00,1.78
9740.00,1.78
9739.00,1.78
9738.00,1.78
9737.00,1.79
9736.00,1.79
9735.00,1.79
9734.00,1.78
9733.00,1.78
9732.00,1.77
9731.00,1.77
9730.00,1.76
9729.00,1.74
9728.00,1.73
9727.00,1.71
9726.00,1.69
9725.00,1.67
9724.00,1.66
9723.00,1.64
9722.00,1.63
9721.00,1.61
9720.00,1.60
9719.00,1.59
9718.00,1.59
9717.00,1.58
9716.00,1.58
9715.00,1.58
9714.00,1.58
9713.00,1.58
9712.00,1.58
9711.00,1.57
9710.00,1.57
9709.00,1.57
9708.00,1.56
9707.00,1.56
9706.00,1.55
9705.00,1.54
9704.00,1.54
9703.00,1.53
9702.00,1.53
9701.00,1.52
9700.00,1.52
9699.00,1.51
9698.00,1.51
9697.00,1.51
9696.00,1.51
9695.00,1.51
9694.00,1.51
9693.00,1.51
9692.00,1.52
9691.00,1.52
9690.00,1.52
9689.00,1.53
9688.00,1.53
9687.00,1.54
9686.00,1.54
9685.00,1.55
9684.00,1.56
9683.00,1.56
9682.00,1.58
9681.00,1.59
9680.00,1.60
9679.00,1.62
9678.00,1.64
9677.00,1.66
9676.00,1.68
9675.00,1.70
9674.00,1.73
9673.00,1.75
9672.00,1.77
9671.00,1.78
9670.00,1.80
9669.00,1.82
9668.00,1.83
9667.00,1.84
9666.00,1.85
9665.00,1.86
9664.00,1.87
9663.00,1.87
9662.00,1.88
9661.00,1.89
9660.00,1.89
9659.00,1.89
9658.00,1.90
9657.00,1.90
9656.00,1.90
9655.00,1.90
9654.00,1.90
9653.00,1.90
9652.00,1.89
9651.00,1.89
9650.00,1.88
9649.00,1.88
9648.00,1.87
9647.00,1.87
9646.00,1.86
9645.00,1.86
9644.00,1.86
9643.00,1.85
9642.00,1.84
9641.00,1.84
9640.00,1.83
9639.00,1.82
9638.00,1.81
9637.00,1.80
9636.00,1.80
9635.00,1.79
9634.00,1.78
9633.00,1.78
9632.00,1.78
9631.00,1.77
9630.00,1.77
9629.00,1.77
9628.00,1.77
9627.00,1.77
