创建为新数据集,样品 472 用户 Administrator 日期 星期三, 七月 24 2019
cm-1,%T
12000.00,0.97
11999.00,0.95
11998.00,0.94
11997.00,0.92
11996.00,0.90
11995.00,0.89
11994.00,0.88
11993.00,0.87
11992.00,0.86
11991.00,0.86
11990.00,0.85
11989.00,0.85
11988.00,0.86
11987.00,0.86
11986.00,0.86
11985.00,0.87
11984.00,0.88
11983.00,0.88
11982.00,0.89
11981.00,0.89
11980.00,0.89
11979.00,0.88
11978.00,0.88
11977.00,0.87
11976.00,0.85
11975.00,0.84
11974.00,0.82
11973.00,0.81
11972.00,0.79
11971.00,0.77
11970.00,0.75
11969.00,0.73
11968.00,0.71
11967.00,0.69
11966.00,0.68
11965.00,0.67
11964.00,0.66
11963.00,0.66
11962.00,0.66
11961.00,0.66
11960.00,0.66
11959.00,0.67
11958.00,0.68
11957.00,0.68
11956.00,0.69
11955.00,0.70
11954.00,0.70
11953.00,0.71
11952.00,0.72
11951.00,0.72
11950.00,0.73
11949.00,0.73
11948.00,0.73
11947.00,0.73
11946.00,0.73
11945.00,0.73
11944.00,0.73
11943.00,0.73
11942.00,0.73
11941.00,0.73
11940.00,0.73
11939.00,0.73
11938.00,0.73
11937.00,0.72
11936.00,0.72
11935.00,0.71
11934.00,0.71
11933.00,0.70
11932.00,0.69
11931.00,0.68
11930.00,0.67
11929.00,0.66
11928.00,0.65
11927.00,0.64
11926.00,0.63
11925.00,0.61
11924.00,0.60
11923.00,0.59
11922.00,0.58
11921.00,0.57
11920.00,0.57
11919.00,0.56
11918.00,0.55
11917.00,0.54
11916.00,0.54
11915.00,0.53
11914.00,0.53
11913.00,0.53
11912.00,0.53
11911.00,0.53
11910.00,0.54
11909.00,0.54
11908.00,0.55
11907.00,0.56
11906.00,0.58
11905.00,0.59
11904.00,0.61
11903.00,0.63
11902.00,0.66
11901.00,0.68
11900.00,0.71
11899.00,0.74
11898.00,0.76
11897.00,0.79
11896.00,0.81
11895.00,0.83
11894.00,0.85
11893.00,0.86
11892.00,0.87
11891.00,0.88
11890.00,0.88
11889.00,0.87
11888.00,0.86
11887.00,0.85
11886.00,0.83
11885.00,0.81
11884.00,0.78
