创建为新数据集,样品 469 用户 Administrator 日期 星期三, 七月 24 2019
cm-1,%T
12000.00,0.82
11999.00,0.85
11998.00,0.87
11997.00,0.90
11996.00,0.93
11995.00,0.96
11994.00,0.98
11993.00,1.01
11992.00,1.03
11991.00,1.05
11990.00,1.06
11989.00,1.08
11988.00,1.08
11987.00,1.08
11986.00,1.08
11985.00,1.07
11984.00,1.06
11983.00,1.04
11982.00,1.01
11981.00,0.98
11980.00,0.95
11979.00,0.92
11978.00,0.88
11977.00,0.84
11976.00,0.80
11975.00,0.76
11974.00,0.73
11973.00,0.71
11972.00,0.68
11971.00,0.66
11970.00,0.65
11969.00,0.64
11968.00,0.63
11967.00,0.63
11966.00,0.63
11965.00,0.63
11964.00,0.64
11963.00,0.64
11962.00,0.65
11961.00,0.66
11960.00,0.67
11959.00,0.68
11958.00,0.69
11957.00,0.70
11956.00,0.70
11955.00,0.71
11954.00,0.71
11953.00,0.71
11952.00,0.72
11951.00,0.72
11950.00,0.72
11949.00,0.73
11948.00,0.73
11947.00,0.73
11946.00,0.74
11945.00,0.74
11944.00,0.74
11943.00,0.75
11942.00,0.75
11941.00,0.75
11940.00,0.75
11939.00,0.75
11938.00,0.75
11937.00,0.74
11936.00,0.74
11935.00,0.73
11934.00,0.72
11933.00,0.71
11932.00,0.70
11931.00,0.69
11930.00,0.68
11929.00,0.67
11928.00,0.66
11927.00,0.65
11926.00,0.64
11925.00,0.63
11924.00,0.63
11923.00,0.62
11922.00,0.61
11921.00,0.61
11920.00,0.60
11919.00,0.60
11918.00,0.60
11917.00,0.60
11916.00,0.60
11915.00,0.60
11914.00,0.60
11913.00,0.60
11912.00,0.60
11911.00,0.59
11910.00,0.59
11909.00,0.59
11908.00,0.59
11907.00,0.59
11906.00,0.59
11905.00,0.58
11904.00,0.58
11903.00,0.58
11902.00,0.57
11901.00,0.57
11900.00,0.57
11899.00,0.56
11898.00,0.56
11897.00,0.56
11896.00,0.56
11895.00,0.56
11894.00,0.56
11893.00,0.56
11892.00,0.56
11891.00,0.56
11890.00,0.56
11889.00,0.56
11888.00,0.57
11887.00,0.57
11886.00,0.57
11885.00,0.57
11884.00,0.57
11883.00,0.58
11882.00,0.57
11881.00,0.57
11880.00,0.57
11879.00,0.57
11878.00,0.56
11877.00,0.56
11876.00,0.56
11875.00,0.56
11874.00,0.56
11873.00,0.56
11872.00,0.55
11871.00,0.55
11870.00,0.55
11869.00,0.55
11868.00,0.55
11867.00,0.56
