创建为新数据集,样品 457 用户 Administrator 日期 星期三, 七月 24 2019
cm-1,%T
12000.00,1.38
11999.00,1.39
11998.00,1.39
11997.00,1.39
11996.00,1.39
11995.00,1.39
11994.00,1.38
11993.00,1.37
11992.00,1.36
11991.00,1.35
11990.00,1.33
11989.00,1.31
11988.00,1.29
11987.00,1.27
11986.00,1.24
11985.00,1.21
11984.00,1.18
11983.00,1.15
11982.00,1.12
11981.00,1.09
11980.00,1.07
11979.00,1.04
11978.00,1.03
11977.00,1.01
11976.00,1.00
11975.00,0.99
11974.00,0.98
11973.00,0.98
11972.00,0.98
11971.00,0.98
11970.00,0.99
11969.00,0.99
11968.00,1.00
11967.00,1.00
11966.00,1.00
11965.00,1.00
11964.00,0.99
11963.00,0.98
11962.00,0.97
11961.00,0.95
11960.00,0.93
11959.00,0.91
11958.00,0.88
11957.00,0.85
11956.00,0.82
11955.00,0.79
11954.00,0.75
11953.00,0.72
11952.00,0.69
11951.00,0.66
11950.00,0.63
11949.00,0.61
11948.00,0.59
11947.00,0.57
11946.00,0.56
11945.00,0.55
11944.00,0.54
11943.00,0.54
11942.00,0.54
11941.00,0.55
11940.00,0.55
11939.00,0.56
11938.00,0.58
11937.00,0.59
11936.00,0.61
11935.00,0.63
11934.00,0.65
11933.00,0.68
11932.00,0.70
11931.00,0.72
11930.00,0.75
11929.00,0.77
11928.00,0.80
11927.00,0.82
11926.00,0.84
11925.00,0.87
11924.00,0.89
11923.00,0.91
11922.00,0.92
11921.00,0.94
11920.00,0.95
11919.00,0.97
11918.00,0.97
11917.00,0.98
11916.00,0.99
11915.00,0.99
11914.00,1.00
11913.00,1.00
11912.00,1.01
11911.00,1.01
11910.00,1.02
11909.00,1.03
11908.00,1.04
11907.00,1.05
11906.00,1.06
11905.00,1.07
11904.00,1.09
11903.00,1.11
11902.00,1.12
11901.00,1.14
11900.00,1.15
11899.00,1.16
11898.00,1.17
11897.00,1.18
11896.00,1.18
11895.00,1.18
11894.00,1.17
11893.00,1.16
11892.00,1.15
11891.00,1.12
11890.00,1.10
11889.00,1.07
11888.00,1.03
11887.00,1.00
11886.00,0.96
11885.00,0.92
11884.00,0.88
11883.00,0.84
11882.00,0.81
11881.00,0.77
11880.00,0.74
11879.00,0.70
11878.00,0.67
11877.00,0.65
11876.00,0.62
11875.00,0.60
11874.00,0.59
11873.00,0.57
11872.00,0.57
11871.00,0.56
11870.00,0.57
11869.00,0.57
11868.00,0.58
11867.00,0.60
11866.00,0.61
11865.00,0.64
11864.00,0.66
11863.00,0.69
11862.00,0.72
11861.00,0.75
11860.00,0.78
11859.00,0.80
11858.00,0.83
11857.00,0.86
11856.00,0.88
11855.00,0.89
11854.00,0.90
11853.00,0.91
11852.00,0.91
11851.00,0.91
11850.00,0.90
11849.00,0.89
11848.00,0.87
11847.00,0.85
11846.00,0.83
11845.00,0.81
11844.00,0.78
11843.00,0.76
11842.00,0.74
11841.00,0.71
11840.00,0.69
11839.00,0.68
11838.00,0.66
11837.00,0.65
