创建为新数据集,样品 563 用户 Administrator 日期 星期三, 七月 24 2019
cm-1,%T
12000.00,3.21
11999.00,3.09
11998.00,2.96
11997.00,2.84
11996.00,2.72
11995.00,2.61
11994.00,2.50
11993.00,2.40
11992.00,2.31
11991.00,2.22
11990.00,2.14
11989.00,2.07
11988.00,2.00
11987.00,1.94
11986.00,1.89
11985.00,1.85
11984.00,1.81
11983.00,1.77
11982.00,1.74
11981.00,1.71
11980.00,1.68
11979.00,1.65
11978.00,1.63
11977.00,1.60
11976.00,1.58
11975.00,1.55
11974.00,1.53
11973.00,1.50
11972.00,1.48
11971.00,1.46
11970.00,1.44
11969.00,1.42
11968.00,1.40
11967.00,1.39
11966.00,1.37
11965.00,1.36
11964.00,1.36
11963.00,1.36
11962.00,1.36
11961.00,1.37
11960.00,1.38
11959.00,1.39
11958.00,1.41
11957.00,1.43
11956.00,1.45
11955.00,1.47
11954.00,1.50
11953.00,1.53
11952.00,1.55
11951.00,1.58
11950.00,1.60
11949.00,1.63
11948.00,1.65
11947.00,1.67
11946.00,1.68
11945.00,1.69
11944.00,1.70
11943.00,1.70
11942.00,1.70
11941.00,1.69
11940.00,1.68
11939.00,1.67
11938.00,1.65
11937.00,1.63
11936.00,1.60
11935.00,1.57
11934.00,1.54
11933.00,1.50
11932.00,1.47
11931.00,1.44
11930.00,1.40
11929.00,1.37
11928.00,1.33
11927.00,1.30
11926.00,1.27
11925.00,1.25
11924.00,1.22
11923.00,1.20
11922.00,1.19
11921.00,1.18
11920.00,1.17
11919.00,1.16
11918.00,1.16
11917.00,1.15
11916.00,1.15
11915.00,1.15
11914.00,1.15
11913.00,1.15
11912.00,1.16
11911.00,1.16
11910.00,1.16
11909.00,1.17
11908.00,1.17
11907.00,1.17
11906.00,1.17
11905.00,1.17
11904.00,1.16
11903.00,1.16
11902.00,1.16
11901.00,1.16
11900.00,1.16
11899.00,1.16
11898.00,1.15
11897.00,1.15
11896.00,1.15
11895.00,1.15
11894.00,1.15
11893.00,1.15
11892.00,1.15
11891.00,1.15
11890.00,1.15
11889.00,1.16
11888.00,1.16
11887.00,1.17
11886.00,1.18
11885.00,1.19
11884.00,1.21
11883.00,1.22
11882.00,1.24
11881.00,1.27
11880.00,1.29
11879.00,1.31
11878.00,1.34
11877.00,1.38
11876.00,1.41
11875.00,1.45
11874.00,1.49
11873.00,1.53
11872.00,1.57
11871.00,1.62
11870.00,1.66
11869.00,1.70
11868.00,1.74
11867.00,1.77
11866.00,1.80
11865.00,1.83
11864.00,1.85
11863.00,1.87
11862.00,1.87
11861.00,1.88
11860.00,1.87
11859.00,1.86
11858.00,1.83
11857.00,1.81
11856.00,1.78
11855.00,1.74
11854.00,1.70
11853.00,1.66
11852.00,1.61
11851.00,1.57
11850.00,1.52
11849.00,1.48
11848.00,1.44
11847.00,1.40
11846.00,1.36
11845.00,1.33
11844.00,1.30
11843.00,1.28
11842.00,1.26
11841.00,1.25
11840.00,1.23
11839.00,1.22
11838.00,1.21
11837.00,1.20
11836.00,1.20
11835.00,1.19
11834.00,1.19
11833.00,1.19
11832.00,1.19
11831.00,1.19
11830.00,1.20
11829.00,1.20
11828.00,1.21
11827.00,1.23
11826.00,1.24
11825.00,1.25
11824.00,1.27
11823.00,1.29
11822.00,1.31
11821.00,1.33
11820.00,1.35
11819.00,1.38
11818.00,1.40
11817.00,1.42
11816.00,1.44
11815.00,1.45
11814.00,1.46
11813.00,1.47
11812.00,1.48
11811.00,1.48
11810.00,1.47
11809.00,1.47
11808.00,1.46
11807.00,1.45
11806.00,1.43
11805.00,1.41
11804.00,1.39
11803.00,1.37
11802.00,1.35
11801.00,1.33
11800.00,1.30
11799.00,1.28
11798.00,1.26
11797.00,1.23
11796.00,1.20
11795.00,1.17
11794.00,1.14
11793.00,1.11
11792.00,1.07
11791.00,1.04
11790.00,1.01
11789.00,0.97
11788.00,0.94
11787.00,0.91
11786.00,0.88
11785.00,0.85
11784.00,0.83
11783.00,0.80
11782.00,0.78
11781.00,0.76
11780.00,0.75
11779.00,0.74
11778.00,0.73
11777.00,0.73
11776.00,0.72
11775.00,0.72
11774.00,0.72
11773.00,0.73
11772.00,0.73
11771.00,0.74
11770.00,0.75
11769.00,0.76
11768.00,0.77
11767.00,0.79
11766.00,0.80
11765.00,0.82
11764.00,0.85
11763.00,0.87
11762.00,0.90
11761.00,0.94
11760.00,0.98
11759.00,1.02
11758.00,1.07
11757.00,1.12
11756.00,1.17
11755.00,1.22
11754.00,1.27
11753.00,1.32
11752.00,1.37
11751.00,1.42
11750.00,1.47
11749.00,1.51
11748.00,1.55
11747.00,1.59
11746.00,1.62
11745.00,1.64
11744.00,1.66
11743.00,1.67
11742.00,1.68
11741.00,1.69
11740.00,1.69
11739.00,1.69
11738.00,1.68
11737.00,1.67
11736.00,1.66
11735.00,1.64
11734.00,1.62
11733.00,1.60
11732.00,1.57
11731.00,1.54
11730.00,1.50
11729.00,1.46
11728.00,1.42
11727.00,1.38
11726.00,1.33
11725.00,1.28
11724.00,1.23
11723.00,1.18
11722.00,1.13
11721.00,1.08
11720.00,1.04
11719.00,0.99
11718.00,0.95
11717.00,0.92
11716.00,0.89
11715.00,0.87
11714.00,0.86
11713.00,0.85
11712.00,0.84
11711.00,0.85
11710.00,0.85
11709.00,0.86
11708.00,0.88
11707.00,0.89
11706.00,0.91
11705.00,0.92
11704.00,0.94
11703.00,0.95
11702.00,0.96
11701.00,0.97
11700.00,0.97
